timestamp[ms],x_accel_raw,y_accel_raw,z_accel_raw,x_gyro_raw,y_gyro_raw,z_gyro_raw,pressure[Pa],state,liftoff_detect,top_detect,burnout_detect,latitude[°],longitude[°]
980564,-1590,38,-1376,925,-6321,-1176,95555.914062,4,2,2,3,33.765984,130.896698
980574,-2464,23,-1649,-114,-7679,-1026,95555.914062,4,2,2,3,33.765984,130.896698
980584,-506,-369,-1739,385,-7719,3010,95555.914062,4,2,2,3,33.765984,130.896698
980594,-1376,305,-2780,751,-9273,4718,95555.914062,4,2,2,3,33.765984,130.896698
980604,-4344,655,-7196,-1,-10909,6605,95568.625000,4,2,2,3,33.765984,130.896698
980614,-3613,-1440,-5455,-2219,-13655,16526,95568.625000,4,2,2,3,33.765984,130.896698
980624,-981,2659,-3336,-3633,-14785,17848,95568.625000,4,2,2,3,33.765984,130.896698
980634,-3762,5013,-5576,-5022,-17530,16966,95568.625000,4,2,2,3,33.765984,130.896698
980644,-5023,-34,-4084,-8367,-19481,19160,95586.906250,4,2,2,3,33.765984,130.896698
980654,-3687,3983,-4203,-11261,-21589,14282,95586.906250,4,2,2,3,33.765984,130.896698
980664,-3542,3872,-3349,-11828,-23466,10446,95586.906250,4,2,2,3,33.765984,130.896698
980674,-4625,4050,-2575,-14953,-24132,5273,95586.906250,4,2,2,3,33.766155,130.896759
980684,-4876,4571,-2100,-15923,-25647,-432,95599.210938,4,2,2,3,33.766155,130.896759
980694,-2769,-966,-1518,-18081,-27691,-6092,95599.210938,4,2,2,3,33.766155,130.896759
980704,-2284,1980,-1600,-18136,-28763,-10262,95599.210938,4,2,2,3,33.766155,130.896759
980714,-3246,4486,-1318,-19932,-30071,-13664,95599.210938,4,2,2,3,33.766155,130.896759
980724,-3012,1163,-1228,-18869,-30190,-17029,95606.218750,4,2,2,3,33.766155,130.896759
980734,-3323,1886,-1136,-19768,-31484,-19844,95606.218750,4,2,2,3,33.766155,130.896759
980744,-3325,1454,-1243,-18547,-31955,-20494,95606.218750,4,2,2,3,33.766155,130.896759
980754,-3629,1241,-1035,-18295,-32764,-21610,95606.218750,4,2,2,3,33.766155,130.896759
980764,-3804,2251,-981,-19359,-32764,-21171,95602.187500,4,2,2,3,33.766155,130.896759
980774,-3968,845,-813,-18467,-32764,-19100,95602.187500,4,2,2,3,33.766155,130.896759
980784,-4327,1147,-796,-18236,-32764,-15302,95602.187500,4,2,2,3,33.766155,130.896759
980794,-4743,1157,-689,-18226,-32764,-9071,95602.187500,4,2,2,3,33.766155,130.896759
980804,-4800,193,-513,-18482,-32764,-3519,95593.187500,4,2,2,3,33.766155,130.896759
980814,-4104,1041,-431,-18868,-32764,1163,95593.187500,4,2,2,3,33.766155,130.896759
980824,-3940,523,-408,-19429,-32764,8144,95593.187500,4,2,2,3,33.766155,130.896759
980834,-4010,712,-290,-20269,-32764,14667,95593.187500,4,2,2,3,33.766155,130.896759
980844,-4476,682,-85,-21244,-32764,19373,95571.828125,4,2,2,3,33.766155,130.896759
980854,-4331,448,12,-22556,-32764,24451,95571.828125,4,2,2,3,33.766155,130.896759
980864,-4024,1143,118,-23780,-32764,28785,95571.828125,4,2,2,3,33.766155,130.896759
980874,-3969,205,247,-25168,-32764,32391,95571.828125,4,2,2,3,33.766155,130.896759
980884,-3620,932,240,-26959,-32764,32764,95551.828125,4,2,2,3,33.766155,130.896759
980894,-2667,664,350,-28687,-32764,32764,95551.828125,4,2,2,3,33.766155,130.896759
980904,-2247,273,403,-30663,-32764,32764,95551.828125,4,2,2,3,33.766155,130.896759
980914,-2342,870,552,-32466,-32764,32764,95551.828125,4,2,2,3,33.766155,130.896759
980924,-2105,615,599,-32764,-32736,32764,95529.828125,4,2,2,3,33.766155,130.896759
980934,-1700,412,701,-32764,-29318,32764,95529.828125,4,2,2,3,33.766155,130.896759
980944,-1704,784,839,-32764,-25630,32764,95529.828125,4,2,2,3,33.766155,130.896759
980954,-1506,908,933,-32764,-20856,32764,95529.828125,4,2,2,3,33.766155,130.896759
980964,-1559,83,1044,-32764,-16082,32764,95517.531250,4,2,2,3,33.766155,130.896759
980974,-862,180,940,-32764,-10903,32764,95517.531250,4,2,2,3,33.766155,130.896759
980984,-606,424,1035,-32764,-4341,32764,95517.531250,4,2,2,3,33.766155,130.896759
980994,-792,385,969,-32764,1941,32764,95517.531250,4,2,2,3,33.766155,130.896759
981004,-1326,-60,895,-32764,9222,32764,95510.921875,4,2,2,3,33.766155,130.896759
981014,-1624,650,987,-32764,15654,32764,95510.921875,4,2,2,3,33.766155,130.896759
981024,-1143,1037,875,-32764,22026,32764,95510.921875,4,2,2,3,33.766155,130.896759
981034,-1731,-157,1007,-28706,28538,32764,95510.921875,4,2,2,3,33.766155,130.896759
981044,-2388,782,1034,-22795,32764,32764,95506.312500,4,2,2,3,33.766155,130.896759
981054,-2383,2082,1090,-15125,32764,32764,95506.312500,4,2,2,3,33.766155,130.896759
981064,-2467,817,1371,-7776,32764,32764,95506.312500,4,2,2,3,33.766155,130.896759
981074,-3109,1408,1366,-493,32764,32764,95506.312500,4,2,2,3,33.766155,130.896759
981084,-2490,1970,1492,7112,32764,32764,95506.828125,4,2,2,3,33.766155,130.896759
981094,-2270,2451,1615,12681,32328,32764,95506.828125,4,2,2,3,33.766155,130.896759
981104,-1907,2613,1543,17659,27295,32764,95506.828125,4,2,2,3,33.766155,130.896759
981114,-1853,2636,1611,20549,22274,32764,95506.828125,4,2,2,3,33.766155,130.896759
981124,-1146,1565,1191,22617,17292,32764,95502.828125,4,2,2,3,33.766155,130.896759
981134,-1056,2478,163,23594,11731,32764,95502.828125,4,2,2,3,33.766155,130.896759
981144,-456,1053,846,23617,6864,32764,95502.828125,4,2,2,3,33.766155,130.896759
981154,286,32,1583,21668,1997,32764,95502.828125,4,2,2,3,33.766155,130.896759
981164,-150,6908,1540,18789,-1649,32764,95500.093750,4,2,2,3,33.766155,130.896759
981174,58,163,1124,16476,-3838,32764,95500.093750,4,2,2,3,33.766155,130.896759
981184,75,545,1224,13760,-5877,32764,95500.093750,4,2,2,3,33.766155,130.896759
981194,2317,4271,880,11195,-6883,32764,95500.093750,4,2,2,3,33.766155,130.896759
981204,2671,2391,1321,8671,-7370,32764,95495.140625,4,2,2,3,33.766155,130.896759
981214,1494,842,1219,6889,-7331,32526,95495.140625,4,2,2,3,33.766155,130.896759
981224,1683,1303,1188,5494,-7152,18038,95495.140625,4,2,2,3,33.766155,130.896759
981234,2204,1032,1258,4212,-6798,-217,95495.140625,4,2,2,3,33.766155,130.896759
981244,1729,1674,1355,3149,-6406,-16716,95493.671875,4,2,2,3,33.766155,130.896759
981254,1078,2267,1495,2166,-6019,-31943,95493.671875,4,2,2,3,33.766155,130.896759
981264,1086,1261,1547,1121,-5717,-32764,95493.671875,4,2,2,3,33.766155,130.896759
981274,1360,2614,1586,-246,-5895,-32764,95493.671875,4,2,2,3,33.766155,130.896759
981284,704,2723,1759,-1558,-5461,-32764,95499.140625,4,2,2,3,33.766155,130.896759
981294,130,2304,1936,-1223,-5690,-32764,95499.140625,4,2,2,3,33.766155,130.896759
981304,64,2404,1896,-1984,-6455,-32764,95499.140625,4,2,2,3,33.766155,130.896759
981314,296,1624,1828,-2112,-7289,-32764,95499.140625,4,2,2,3,33.766155,130.896759
981324,-868,3107,1878,-4056,-8182,-32764,95508.531250,4,2,2,3,33.766155,130.896759
981334,-846,1150,4467,-3950,-9277,-32764,95508.531250,4,2,2,3,33.766155,130.896759
981344,-1866,2759,1502,-2372,-10176,-32764,95508.531250,4,2,2,3,33.766155,130.896759
981354,-3414,3585,1715,-653,-10615,-32764,95509.734375,4,2,2,3,33.766155,130.896759
981364,4624,-184,5416,238,-13074,-32764,95509.734375,4,2,2,3,33.766155,130.896759
981374,-9156,-299,2791,1976,-12479,-32764,95509.734375,4,2,2,3,33.766155,130.896759
981384,-4975,4472,2648,2171,-14067,-32764,95509.734375,4,2,2,3,33.766155,130.896759
981394,7197,-1560,2310,4172,-13776,-32764,95500.156250,4,2,2,3,33.766155,130.896759
981404,-1451,934,2319,5698,-12760,-32764,95500.156250,4,2,2,3,33.766155,130.896759
981414,-3027,467,2104,7086,-12139,-32764,95500.156250,4,2,2,3,33.766155,130.896759
981424,3425,501,2372,9165,-11206,-32764,95500.156250,4,2,2,3,33.766155,130.896759
981434,-356,609,1942,12364,-8862,-32764,95498.109375,4,2,2,3,33.766155,130.896759
981444,-2506,475,2077,11064,-7438,-32764,95498.109375,4,2,2,3,33.766155,130.896759
981454,927,1198,2118,13253,-4324,-32764,95498.109375,4,2,2,3,33.766155,130.896759
981464,538,922,1823,13736,-1692,-32764,95498.109375,4,2,2,3,33.766155,130.896759
981474,-236,1922,1888,11999,803,-32764,95505.117188,4,2,2,3,33.766155,130.896759
981484,-371,618,2072,11060,3205,-32764,95505.117188,4,2,2,3,33.766155,130.896759
981494,-1114,1464,2002,8923,4491,-32764,95505.117188,4,2,2,3,33.766155,130.896759
981504,-1787,2521,1936,5859,6033,-32764,95505.117188,4,2,2,3,33.766155,130.896759
